created_at,id,tweet,name,description,location,followers_count,friends_count,favourites_count,statuses_count,is_retweet,r_name,r_description,r_location,polarity,subjectivity,emotion
Thu Jun 04 13:32:54 +0000 2020,1268536205374717953,firedup79 mike pence has been in hiding for a while think he has coronavirus or is he prepping to take over the last few months left,Leslie Brian,,CA,290,311,99581,36444,retweet,Justice is Coming,I didn't bring kids into the world just to leave them a broken 🌎 & country. Won't engage with #Cult45 unless I'm in the mood to mock your ignorance. #Resist,,-0.06666666666666667,0.05555555555555556,negative
Thu Jun 04 13:32:53 +0000 2020,1268536203546157058,jimjordan democrat mayors during coronavirusyou cant open your businessyou cant go to churchyou cant buy a gundemocrat,DESERT FOX,I AM A PATRIOT OF THE UNITED STATES OF AMERICA.I TO LIKE PRESIDENT TRUMP AND PATRIOT JULIAN ASSANGE WANT TO MAKE AMERICA GREAT AGAIN. FIGHTING FOR AMERICANS.TI.,United States,9065,9754,148462,223792,retweet,Rep. Jim Jordan,Proudly serving Ohio's beautiful Fourth District. Ranking Member on @JudiciaryGOP. Fighting to #DoWhatWeSaid,"Washington, D.C. ",0.0,0.5,neutral
Thu Jun 04 13:32:53 +0000 2020,1268536202631753728,today i am taking a stand in solidarity with survivors and calling for global systems change to protect women and girls pandemic violence and thecoronavirus pandemic intersect redshoes zapatosrojos redshoeseverywoman womantreaty cherieblairfndn unwomen asloorg httpstcoc6scllnckq,ngozimoguguah,,,113,207,795,1163,tweet,,,,0.0,0.0,neutral
Thu Jun 04 13:32:53 +0000 2020,1268536200308064256,ezracheungtoto live defying explicit police ban due to the coronavirus outbreak scores of people flow into victoria park known as,VIMO O,,,4,42,584,2440,retweet,Ezra Cheung,Part-time reporter at @nytimes & @CNN. Formerly @AFP. @HKBUjour’s Intl Journalism. Absolute foodie. Teasipper. Achievement: went to Bruce Lee’s primary school.,Hong Kong,0.005681818181818177,0.4375,positive
Thu Jun 04 13:32:52 +0000 2020,1268536198190022664,gregabbotttx today texas had the fewest covid19 hospitalizations in the pas weeksand we now ran in america for the most r,Mave2020rick,"TRUMP 2020
Father, Papa and Conservative.
love Donald J Trump.
Follow ""Q"" WWG1WGA!!!",,415,904,14660,15523,retweet,Greg Abbott,Texas Governor Greg Abbott's Personal Twitter Feed,"Austin, TX",0.5,0.5,positive
Thu Jun 04 13:32:52 +0000 2020,1268536197317607427,piersmorgan breaking the uk ha new deaths from coronavirus reported in pas this is more than the entire e countrie,elena birceanu,"love my country 
#România 🇷🇴and #ElcinSangu💌","Bucureşti, România",777,480,149804,114822,retweet,Piers Morgan,"'One day you're cock of the walk, the next a feather duster’ - Margot Barber.","London, Newick, LA.",0.21212121212121213,0.5265151515151515,positive
Thu Jun 04 13:32:50 +0000 2020,1268536191378391040,truckersclubusa dope or nopemonster trucktrucking truckatruckers truckdrivers coronavirus covid19 covid19 httpstc,carl obeyesekera,Air Crew.,DUBAI . UAE.,4878,4832,28360,253011,retweet,Truckers Club,"Photo📷Video📹News📰
Follow Us If You Love #Truck.🚛
Dm your photos/Videos!📷📹
Daily content 🔥
Happy #trucking🚛🚛",,0.0,0.0,neutral
Thu Jun 04 13:32:50 +0000 2020,1268536190900281345,yifatroth you have to love them as if there is nothing else besides this to love all of humanity and every person some people love h,Emmi,believer of #infinite #love https://t.co/sVtaUcvagB #spirituality #unity #Kabbalah #Wisdom #life #fulfillment #good #freedom #change #Connection #education #nature,ישראל,164,202,13348,12278,retweet,Yifat Roth,Wisdom of Connection   #kabbalah #wisdom #education #spirituality #israel #science #covidexplained  #Research #nature #Motivation,,0.5,0.6,positive
Thu Jun 04 13:32:50 +0000 2020,1268536190602526720,cartoon4sale dave browns independent cartoon borisjohnson dominiccummings pmqs covid19 coronavirus  political cartoon galle,Life In The UK 2013,Just the best study guide to help candidates pass the Life in the UK Test. The 'knowledge' in the text is by the Home Office not the authors of this guide.,London NW6,770,762,4602,27291,retweet,Political Cartoon,"Political Cartoon Gallery 16 Lower Richmond Road, London SW15 1JP Dr Tim Benson is Britain's leading expert on political cartoons. MAKING CARTOONS GREAT AGAIN.",London,0.0,0.1125,neutral
Thu Jun 04 13:32:50 +0000 2020,1268536189612519425,jwhittenbergk5 curve flatteningstill not even close in yakima countythe latest confirmed data show new coronavirus cases on,Jordan Wilkerson,KING 5 Meteorologist ☀️ / Traffic Anchor 🚘 | @uwtacoma & @msstate Graduate 🎓| FL Native 🌴 | Opinions are my own. FB: https://t.co/faJ9Ya2RAf IG: @JordanWtv,"Washington, USA",4347,2197,11327,14056,retweet,Jake Whittenberg 🎥,NBC Seattle Anchor. KING 5 Morning news 📺 I love news and tweet about it. 💪 Work hard play hard 🚀 Go Seahawks / Mariners! 🏈⚾️,"Seattle, WA",0.34545454545454546,0.7848484848484848,positive
